"      Date","    Time","Temp","SpCond","Turbidity","DateTime"
"22/10/2024","18:00:51",10.72,419,11.9,2024-10-22 18:00:51
"22/10/2024","18:15:50",10.7,420,11.4,2024-10-22 18:15:50
"22/10/2024","18:30:50",10.68,420,11.5,2024-10-22 18:30:50
"22/10/2024","18:45:51",10.65,421,11.5,2024-10-22 18:45:51
"22/10/2024","19:00:51",10.63,421,11.7,2024-10-22 19:00:51
"22/10/2024","19:15:51",10.61,422,11.8,2024-10-22 19:15:51
"22/10/2024","19:30:51",10.59,422,12,2024-10-22 19:30:51
"22/10/2024","19:45:51",10.57,422,12,2024-10-22 19:45:51
"22/10/2024","20:00:50",10.55,422,11.9,2024-10-22 20:00:50
"22/10/2024","20:15:51",10.53,422,12.1,2024-10-22 20:15:51
"22/10/2024","20:30:51",10.51,422,11.7,2024-10-22 20:30:51
"22/10/2024","20:45:51",10.49,422,12.3,2024-10-22 20:45:51
"22/10/2024","21:00:50",10.48,422,12,2024-10-22 21:00:50
"22/10/2024","21:15:51",10.47,422,12,2024-10-22 21:15:51
"22/10/2024","21:30:51",10.46,421,11.7,2024-10-22 21:30:51
"22/10/2024","21:45:50",10.45,421,11.8,2024-10-22 21:45:50
"22/10/2024","22:00:50",10.43,421,11.5,2024-10-22 22:00:50
"22/10/2024","22:15:50",10.42,420,11.5,2024-10-22 22:15:50
"22/10/2024","22:30:51",10.4,420,12.5,2024-10-22 22:30:51
"22/10/2024","22:45:50",10.39,419,11.5,2024-10-22 22:45:50
"22/10/2024","23:00:51",10.38,419,11.4,2024-10-22 23:00:51
"22/10/2024","23:15:51",10.36,419,12.1,2024-10-22 23:15:51
"22/10/2024","23:30:51",10.35,418,11.2,2024-10-22 23:30:51
"22/10/2024","23:45:51",10.34,418,11,2024-10-22 23:45:51
"23/10/2024","00:00:51",10.32,417,11.1,2024-10-23 00:00:51
"23/10/2024","00:15:51",10.31,417,11.2,2024-10-23 00:15:51
"23/10/2024","00:30:51",10.3,416,10.8,2024-10-23 00:30:51
"23/10/2024","00:45:51",10.29,416,10.8,2024-10-23 00:45:51
"23/10/2024","01:00:51",10.28,415,10.1,2024-10-23 01:00:51
"23/10/2024","01:15:51",10.27,415,10.4,2024-10-23 01:15:51
"23/10/2024","01:30:50",10.26,415,10.6,2024-10-23 01:30:50
"23/10/2024","01:45:51",10.26,414,10.4,2024-10-23 01:45:51
"23/10/2024","02:00:50",10.25,414,10.4,2024-10-23 02:00:50
"23/10/2024","02:15:50",10.25,413,10.1,2024-10-23 02:15:50
"23/10/2024","02:30:50",10.25,413,9.9,2024-10-23 02:30:50
"23/10/2024","02:45:51",10.26,412,10,2024-10-23 02:45:51
"23/10/2024","03:00:51",10.27,412,9.7,2024-10-23 03:00:51
"23/10/2024","03:15:50",10.29,412,10.1,2024-10-23 03:15:50
"23/10/2024","03:30:50",10.3,411,9.8,2024-10-23 03:30:50
"23/10/2024","03:45:50",10.31,411,9.3,2024-10-23 03:45:50
"23/10/2024","04:00:51",10.32,410,9.2,2024-10-23 04:00:51
"23/10/2024","04:15:51",10.34,410,9.6,2024-10-23 04:15:51
"23/10/2024","04:30:51",10.35,409,8.9,2024-10-23 04:30:51
"23/10/2024","04:45:51",10.36,409,9.3,2024-10-23 04:45:51
"23/10/2024","05:00:50",10.38,409,9,2024-10-23 05:00:50
"23/10/2024","05:15:51",10.39,408,9.1,2024-10-23 05:15:51
"23/10/2024","05:30:51",10.4,408,8.9,2024-10-23 05:30:51
"23/10/2024","05:45:51",10.41,408,8.9,2024-10-23 05:45:51
"23/10/2024","06:00:50",10.41,407,8.9,2024-10-23 06:00:50
"23/10/2024","06:15:50",10.42,407,8.6,2024-10-23 06:15:50
"23/10/2024","06:30:51",10.43,406,8.6,2024-10-23 06:30:51
"23/10/2024","06:45:51",10.44,406,8.8,2024-10-23 06:45:51
"23/10/2024","07:00:50",10.44,406,8.6,2024-10-23 07:00:50
"23/10/2024","07:15:51",10.45,405,8.4,2024-10-23 07:15:51
"23/10/2024","07:30:50",10.45,405,8.5,2024-10-23 07:30:50
"23/10/2024","07:45:51",10.45,404,8.5,2024-10-23 07:45:51
"23/10/2024","08:00:51",10.45,404,8.3,2024-10-23 08:00:51
"23/10/2024","08:15:51",10.45,403,8.4,2024-10-23 08:15:51
"23/10/2024","08:30:51",10.45,403,8.4,2024-10-23 08:30:51
"23/10/2024","08:45:51",10.45,402,8.3,2024-10-23 08:45:51
