      Date,    Time,Temp,SpCond,Turbidity,DateTime
06/10/2024,13:45:50,13.31,486,3.2,10/06/2024 13:45:00
06/10/2024,14:00:50,13.38,485,3.2,10/06/2024 14:00:00
06/10/2024,14:15:50,13.43,485,3.2,10/06/2024 14:15:00
06/10/2024,14:30:50,13.48,484,3.2,10/06/2024 14:30:00
06/10/2024,14:45:50,13.53,484,2.8,10/06/2024 14:45:00
06/10/2024,15:00:50,13.57,483,2.9,10/06/2024 15:00:00
06/10/2024,15:15:50,13.6,483,3.2,10/06/2024 15:15:00
06/10/2024,15:30:50,13.66,483,3.3,10/06/2024 15:30:00
06/10/2024,15:45:50,13.7,482,3.5,10/06/2024 15:45:00
06/10/2024,16:00:50,13.72,482,3.2,10/06/2024 16:00:00
06/10/2024,16:15:50,13.72,482,3.2,10/06/2024 16:15:00
06/10/2024,16:30:50,13.73,483,3.1,10/06/2024 16:30:00
06/10/2024,16:45:50,13.73,483,3.5,10/06/2024 16:45:00
06/10/2024,17:00:50,13.72,483,3.4,10/06/2024 17:00:00
06/10/2024,17:15:50,13.72,484,2.9,10/06/2024 17:15:00
06/10/2024,17:30:50,13.7,484,3,10/06/2024 17:30:00
06/10/2024,17:45:50,13.68,485,2.9,10/06/2024 17:45:00
06/10/2024,18:00:50,13.64,485,3.1,10/06/2024 18:00:00
06/10/2024,18:15:50,13.6,486,3.1,10/06/2024 18:15:00
06/10/2024,18:30:50,13.57,487,2.7,10/06/2024 18:30:00
06/10/2024,18:45:50,13.54,487,3.1,10/06/2024 18:45:00
06/10/2024,19:00:50,13.51,488,2.8,10/06/2024 19:00:00
06/10/2024,19:15:50,13.48,488,2.9,10/06/2024 19:15:00
06/10/2024,19:30:51,13.44,489,2.5,10/06/2024 19:30:00
06/10/2024,19:45:50,13.42,489,2.8,10/06/2024 19:45:00
06/10/2024,20:00:50,13.39,490,2.6,10/06/2024 20:00:00
06/10/2024,20:15:50,13.36,490,2.8,10/06/2024 20:15:00
06/10/2024,20:30:50,13.34,491,2.8,10/06/2024 20:30:00
06/10/2024,20:45:50,13.31,491,2.8,10/06/2024 20:45:00
06/10/2024,21:00:51,13.28,492,2.7,10/06/2024 21:00:00
06/10/2024,21:15:50,13.25,492,3,10/06/2024 21:15:00
06/10/2024,21:30:50,13.23,492,2.7,10/06/2024 21:30:00
06/10/2024,21:45:50,13.2,493,2.7,10/06/2024 21:45:00
06/10/2024,22:00:50,13.18,493,2.6,10/06/2024 22:00:00
06/10/2024,22:15:50,13.15,493,2.6,10/06/2024 22:15:00
06/10/2024,22:30:50,13.13,494,2.6,10/06/2024 22:30:00
06/10/2024,22:45:51,13.12,494,2.3,10/06/2024 22:45:00
06/10/2024,23:00:51,13.11,495,2.7,10/06/2024 23:00:00
06/10/2024,23:15:50,13.1,495,2.7,10/06/2024 23:15:00
06/10/2024,23:30:50,13.1,495,2.5,10/06/2024 23:30:00
06/10/2024,23:45:50,13.09,495,2.6,10/06/2024 23:45:00
07/10/2024,00:00:50,13.09,495,2.5,10/07/2024 00:00:00
07/10/2024,00:15:50,13.09,495,4.3,10/07/2024 00:15:00
07/10/2024,00:30:50,13.09,495,2.6,10/07/2024 00:30:00
07/10/2024,00:45:50,13.08,495,2.6,10/07/2024 00:45:00
07/10/2024,01:00:50,13.08,495,2.5,10/07/2024 01:00:00
07/10/2024,01:15:50,13.07,495,2.7,10/07/2024 01:15:00
07/10/2024,01:30:50,13.06,495,2.6,10/07/2024 01:30:00
07/10/2024,01:45:50,13.05,495,2.6,10/07/2024 01:45:00
07/10/2024,02:00:50,13.03,495,2.5,10/07/2024 02:00:00
07/10/2024,02:15:50,13,495,2.6,10/07/2024 02:15:00
07/10/2024,02:30:50,12.98,495,2.6,10/07/2024 02:30:00
07/10/2024,02:45:50,12.95,495,2.6,10/07/2024 02:45:00
07/10/2024,03:00:51,12.94,495,2.7,10/07/2024 03:00:00
07/10/2024,03:15:51,12.92,495,2.5,10/07/2024 03:15:00
07/10/2024,03:30:51,12.9,495,2.8,10/07/2024 03:30:00
07/10/2024,03:45:50,12.88,495,2.6,10/07/2024 03:45:00
07/10/2024,04:00:50,12.86,495,2.8,10/07/2024 04:00:00
07/10/2024,04:15:50,12.85,495,2.6,10/07/2024 04:15:00
07/10/2024,04:30:50,12.85,495,2.6,10/07/2024 04:30:00
07/10/2024,04:45:50,12.84,494,2.8,10/07/2024 04:45:00
07/10/2024,05:00:50,12.84,494,2.8,10/07/2024 05:00:00
07/10/2024,05:15:50,12.83,494,2.7,10/07/2024 05:15:00
07/10/2024,05:30:50,12.83,494,2.8,10/07/2024 05:30:00
07/10/2024,05:45:50,12.83,494,2.8,10/07/2024 05:45:00
07/10/2024,06:00:50,12.83,494,2.8,10/07/2024 06:00:00
07/10/2024,06:15:50,12.83,493,2.9,10/07/2024 06:15:00
07/10/2024,06:30:50,12.82,493,3.5,10/07/2024 06:30:00
07/10/2024,06:45:50,12.82,493,2.9,10/07/2024 06:45:00
07/10/2024,07:00:51,12.82,493,2.9,10/07/2024 07:00:00
07/10/2024,07:15:50,12.82,493,2.9,10/07/2024 07:15:00
07/10/2024,07:30:51,12.81,493,3.1,10/07/2024 07:30:00
07/10/2024,07:45:51,12.8,493,2.8,10/07/2024 07:45:00
07/10/2024,08:00:50,12.79,493,3,10/07/2024 08:00:00
07/10/2024,08:15:50,12.79,492,3.1,10/07/2024 08:15:00
07/10/2024,08:30:50,12.8,492,2.9,10/07/2024 08:30:00
07/10/2024,08:45:50,12.81,492,2.9,10/07/2024 08:45:00
07/10/2024,09:00:51,12.82,492,3,10/07/2024 09:00:00
07/10/2024,09:15:50,12.82,492,2.9,10/07/2024 09:15:00
07/10/2024,09:30:50,12.82,492,3.1,10/07/2024 09:30:00
07/10/2024,09:45:50,12.83,492,3.4,10/07/2024 09:45:00
07/10/2024,10:00:50,12.84,492,3.1,10/07/2024 10:00:00
07/10/2024,10:15:50,12.86,492,3,10/07/2024 10:15:00
07/10/2024,10:30:50,12.87,493,3.1,10/07/2024 10:30:00
07/10/2024,10:45:50,12.88,492,3.8,10/07/2024 10:45:00
07/10/2024,11:00:51,12.9,492,3.2,10/07/2024 11:00:00
07/10/2024,11:15:51,12.93,492,3.1,10/07/2024 11:15:00
07/10/2024,11:30:50,12.96,492,3.5,10/07/2024 11:30:00
07/10/2024,11:45:50,12.97,492,3.2,10/07/2024 11:45:00
07/10/2024,12:00:50,13,492,3.1,10/07/2024 12:00:00
07/10/2024,12:15:50,13.03,492,3.8,10/07/2024 12:15:00
07/10/2024,12:30:50,13.05,492,3.2,10/07/2024 12:30:00
07/10/2024,12:45:50,13.08,492,3.2,10/07/2024 12:45:00
07/10/2024,13:00:50,13.12,491,3.1,10/07/2024 13:00:00
07/10/2024,13:15:50,13.15,491,2.9,10/07/2024 13:15:00
07/10/2024,13:30:50,13.19,491,3.1,10/07/2024 13:30:00
07/10/2024,13:45:50,13.23,491,3.7,10/07/2024 13:45:00
07/10/2024,14:00:51,13.28,491,3.4,10/07/2024 14:00:00
07/10/2024,14:15:51,13.32,491,3,10/07/2024 14:15:00
07/10/2024,14:30:50,13.35,490,3.2,10/07/2024 14:30:00
07/10/2024,14:45:50,13.38,490,3.6,10/07/2024 14:45:00
07/10/2024,15:00:50,13.43,490,2.9,10/07/2024 15:00:00
07/10/2024,15:15:50,13.45,490,3,10/07/2024 15:15:00
